//coe-itss-bfs.engr.ucdavis.edu/StudentDocs$/quinngk2/Downloads/YF52Coyote_AVL/Main Wing_CBKKIWEXIY_4.dat
1.0000000000000000 0.0000000000000000
0.9808994762588326 0.0019153024386385
0.9534552221662753 0.0047938502482569
0.9148375570859977 0.0089182148170619
0.8620583188863671 0.0145070199130692
0.7927260175212201 0.0215860214693454
0.7062371782769976 0.0297750745474661
0.6050424215970275 0.0381211146267704
0.4951532222555587 0.0450738185656355
0.3851217832244075 0.0490088479575990
0.2835967013178061 0.0493612199895466
0.1967828590000253 0.0463671065049367
0.1273276372853874 0.0407179316786249
0.0747907092801265 0.0332569774395683
0.0369693908717972 0.0245384998049913
0.0114549137612343 0.0142866402646141
0.0000000000000000 0.0000000000000000
0.0114549137612345 -0.0142866402646142
0.0369693908717974 -0.0245384998049913
0.0747907092801267 -0.0332569774395684
0.1273276372853875 -0.0407179316786249
0.1967828590000257 -0.0463671065049367
0.2835967013178065 -0.0493612199895466
0.3851217832244079 -0.0490088479575990
0.4951532222555590 -0.0450738185656355
0.6050424215970280 -0.0381211146267703
0.7062371782769987 -0.0297750745474660
0.7927260175212205 -0.0215860214693454
0.8620583188863680 -0.0145070199130691
0.9148375570859972 -0.0089182148170616
0.9534552221662732 -0.0047938502482565
0.9808994762588310 -0.0019153024386382
1.0000000000000000 0.0000000000000000
